battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,px_height,px_width,ram,talk_time,touch_screen,wifi,price_range
1503,1,0.7,0,10,1,43,0.2,166,4,841,1304,2122,2,0,0,Mid
1681,1,2.5,0,2,0,11,0.4,158,2,195,1205,1122,16,1,1,Low
715,0,2.3,1,4,0,48,0.1,160,4,21,562,3709,10,0,0,Mid
1876,0,2.8,1,3,1,56,0.4,182,3,235,585,3021,18,0,0,Mid
1190,1,2.2,1,9,0,47,0.3,186,6,1417,1441,624,19,1,1,Low
1755,1,1.3,0,0,1,24,0.1,134,7,286,1075,3937,7,0,1,High
1048,1,0.9,0,10,1,28,0.8,194,2,966,1975,1458,15,0,1,Mid_Low
1887,1,3,1,6,1,17,0.2,126,8,1172,1798,3348,16,1,0,High
1772,1,0.5,1,3,0,64,0.7,116,8,270,545,1834,20,1,1,Mid_Low
1421,0,2.8,0,0,1,57,0.4,165,1,781,1657,2775,14,0,1,High
1464,0,0.5,1,0,1,17,0.7,153,6,418,1341,1277,19,0,0,Mid_Low
728,0,2.3,1,4,0,23,0.8,111,4,126,817,457,16,1,1,Low
954,1,0.5,0,0,0,50,0.3,134,2,228,1058,438,2,0,0,Low
685,0,0.5,1,8,1,13,0.8,82,7,1091,1203,3210,2,1,1,High
1472,0,2.8,1,1,0,36,0.5,130,6,1452,1744,985,7,1,0,Mid_Low
853,1,2,0,10,1,3,0.6,200,2,674,740,3701,8,1,0,High
1469,0,2.1,0,0,0,8,0.7,123,7,398,1133,1052,3,1,0,Low
1310,1,2.3,1,6,0,57,0.9,135,8,449,889,1175,8,0,0,Low
1654,0,1.8,0,1,0,11,0.3,146,7,1184,1719,1070,14,1,1,Mid_Low
902,1,0.7,0,3,0,3,0.3,134,7,675,1285,3411,15,0,1,High
1448,0,1.4,1,13,0,26,1,156,3,1792,1850,1175,6,1,0,Mid_Low
1631,0,0.9,1,2,1,3,0.1,198,7,177,1905,301,13,0,0,Low
1608,0,1.8,1,7,0,28,0.4,183,2,1013,1158,489,8,0,1,Low
1991,1,2.7,0,5,1,64,0.9,145,2,1058,1325,1733,8,1,0,Mid
1349,0,2,1,15,0,62,0.3,114,5,592,772,2756,4,0,0,Mid
1589,0,2.5,0,5,1,51,0.8,195,1,810,1743,2612,16,0,0,Mid
1844,1,2.3,1,1,0,51,0.7,158,8,533,882,1724,14,1,1,Mid_Low
712,1,0.5,1,3,1,35,0.2,84,2,558,1208,2190,4,1,1,Mid_Low
972,1,1.7,0,0,1,54,0.7,107,3,681,1050,1900,19,0,1,Mid_Low
1406,0,0.5,1,2,1,34,0.8,98,3,1017,1366,3915,2,0,1,High
1289,0,0.9,0,10,1,25,1,178,6,765,899,1043,11,1,0,Low
932,0,1.3,0,1,0,64,0.7,154,7,1176,1224,3817,9,1,1,High
1747,1,0.9,0,6,1,48,0.7,94,3,947,1131,2362,19,1,0,Mid
1172,1,2.1,1,4,0,41,0.1,95,3,1314,1884,1107,5,0,0,Mid_Low
1128,1,1.4,0,12,0,53,0.4,84,5,609,1370,2982,12,1,0,High
664,0,1.2,1,0,0,28,0.9,106,5,754,1497,2042,19,1,0,Mid_Low
513,1,0.5,0,6,1,44,0.1,186,4,619,867,1343,9,1,0,Low
1742,0,2.3,1,9,1,43,0.4,170,7,453,681,2610,10,0,1,Mid
1512,1,1.7,0,12,0,6,0.7,162,7,205,884,2335,7,1,1,Mid
1986,0,0.5,1,3,1,51,0.1,165,8,282,1358,1614,3,1,1,Mid_Low
965,1,1.5,1,5,0,13,1,109,2,130,998,1138,10,1,0,Low
1067,1,2.4,1,3,1,40,0.6,122,8,494,1989,604,11,0,0,Low
1583,1,1.6,0,5,1,42,0.8,118,3,275,862,3652,9,0,0,High
1653,0,0.5,1,2,1,37,0.9,176,4,447,1785,3955,18,1,1,High
1433,0,1.6,0,7,0,4,0.7,133,8,281,799,258,4,1,1,Low
765,0,2.9,0,0,1,18,0.1,153,7,6,793,1066,16,1,0,Low
1845,1,0.5,1,10,0,61,0.3,96,1,292,695,1731,6,0,0,Mid_Low
752,0,0.5,1,1,0,48,0.7,87,7,164,728,3860,16,0,0,High
1948,0,2.8,1,8,0,16,0.1,100,5,631,1940,3630,17,1,0,High
1077,0,2.5,1,0,1,45,1,174,3,897,1304,1965,6,1,0,Mid_Low
932,1,0.5,0,1,1,60,0.7,104,4,268,1078,1459,19,1,0,Low
1968,0,0.9,0,0,0,22,0.8,115,3,861,1259,2323,7,0,1,Mid
1122,0,1.2,0,9,0,2,0.6,120,4,331,790,3291,13,1,1,Mid
1588,0,0.5,0,0,1,61,0.8,159,1,1064,1594,3272,17,1,0,High
601,0,2.1,0,4,0,26,0.3,101,4,509,548,918,12,0,0,Low
1615,0,0.5,0,14,0,15,0.1,132,4,622,1256,3488,3,0,1,High
1589,1,2.2,1,2,0,58,0.1,128,4,957,1911,3961,14,0,1,High
1417,1,2.7,0,2,1,56,0.9,114,6,494,1649,590,6,0,1,Low
1697,1,0.7,0,1,1,34,0.1,95,1,236,1264,3701,8,1,0,High
1330,1,1.3,1,14,0,3,0.3,83,5,980,1262,463,11,0,1,Low
1476,0,0.5,0,0,1,43,0.7,148,2,1789,1972,3644,6,0,1,High
1579,1,1.5,0,0,0,27,0.2,142,6,831,1484,1713,10,1,1,Mid_Low
1277,0,3,0,0,1,41,0.3,200,4,902,1090,429,14,1,1,Low
1089,1,0.9,1,12,1,2,0.7,145,5,636,1259,2765,10,0,1,Mid
1663,1,2.5,1,13,1,27,0.3,169,4,831,1439,2084,18,0,0,Mid
1949,0,1.8,0,0,0,20,0.8,186,5,518,592,1125,9,0,0,Mid_Low
1138,0,1.1,0,5,1,48,0.6,109,3,233,1777,2048,18,1,1,Mid
685,0,2.7,0,7,0,17,0.3,174,6,725,870,1223,18,0,1,Low
1889,0,2.8,0,5,1,31,1,132,1,170,1106,3672,3,1,1,High
857,1,2,1,3,0,17,0.2,195,7,157,948,3100,13,1,0,Mid
1902,0,2.8,1,6,0,50,0.8,124,8,1142,1393,343,18,1,0,Low
1225,1,2.4,0,0,0,15,0.1,155,5,840,982,1970,15,1,0,Mid_Low
1066,0,1.6,0,5,0,39,0.6,131,5,401,1586,2728,17,1,1,Mid
1554,1,0.5,1,11,0,5,1,124,3,395,1579,3635,18,0,0,High
1337,0,0.5,0,13,0,31,0.8,186,2,48,644,2180,16,0,1,Mid_Low
1926,1,1.7,1,1,1,33,0.4,172,3,982,1157,2488,14,0,0,Mid
869,0,1.3,1,3,0,34,0.1,104,2,478,539,3864,11,0,0,High
1278,1,0.5,1,1,0,54,0.1,104,8,581,750,1155,20,0,1,Low
1773,1,2.5,0,16,1,32,0.6,170,6,1215,1472,3566,13,0,1,High
1661,1,0.8,1,1,1,6,1,109,7,594,1337,864,2,0,1,Mid_Low
1438,0,2.2,0,0,1,32,0.6,176,7,683,1663,869,9,1,1,Low
1661,1,1.4,0,0,0,29,0.3,119,2,536,861,591,9,1,1,Low
1846,1,0.6,0,1,0,19,0.7,159,1,83,773,1333,11,1,1,Mid_Low
1260,1,2,1,2,1,23,0.2,123,7,905,1313,2208,10,0,1,Mid
512,1,0.5,1,7,0,15,0.9,83,3,249,1849,2610,15,1,1,Mid
581,0,2.2,0,0,0,59,0.7,185,5,803,1613,2819,9,0,1,Mid
1872,1,2.3,0,6,0,44,0.7,134,3,459,1259,1955,15,0,1,Mid
687,1,1.3,0,9,1,50,0.6,151,4,584,1151,3416,8,1,0,High
1062,1,2.5,1,6,0,10,0.9,160,1,1596,1807,3803,16,0,1,High
1678,1,2.3,1,11,0,7,0.5,192,1,418,1763,574,19,0,0,Low
1417,1,0.5,0,10,1,45,0.9,166,4,364,1029,2129,12,0,1,Mid_Low
1074,0,2.4,1,2,1,9,0.9,103,6,946,952,1948,18,1,1,Mid_Low
1832,0,0.7,0,2,0,2,0.6,90,7,186,654,2978,18,0,0,Mid
1039,0,1.3,0,0,1,12,0.8,200,8,1428,1827,1619,10,1,1,Mid_Low
1059,0,2.4,0,8,0,61,0.1,134,3,1613,1916,3716,11,1,0,High
1606,0,1.4,0,3,0,57,0.1,154,4,1127,1924,3454,20,0,1,High
1928,1,1.8,0,9,1,19,1,187,3,691,1580,3777,13,1,1,High
1875,1,0.5,1,11,1,55,0.7,91,1,1802,1942,2712,6,0,1,High
1128,1,1.1,0,9,1,46,0.9,135,8,751,1582,1434,11,0,0,Mid_Low
1748,0,1.7,1,6,1,14,0.5,146,3,859,1234,3968,3,0,1,High
1413,0,0.5,1,5,0,51,0.3,117,5,187,517,3383,2,0,0,High
825,0,0.5,1,0,1,23,0.1,86,2,206,1917,3278,2,0,1,High
1589,1,1.4,0,3,1,26,0.1,100,8,1673,1759,3970,18,0,1,High
535,1,0.5,1,8,1,54,0.5,145,8,710,939,2674,10,0,0,Mid
1780,1,0.5,0,6,0,27,0.1,190,4,1331,1463,2776,14,1,1,High
1671,0,0.6,1,7,1,61,0.1,129,2,263,848,2336,7,0,0,Mid
1821,0,0.9,0,9,1,12,0.3,114,1,97,1803,2430,6,1,1,Mid
1076,1,2.6,0,3,1,38,0.7,119,6,129,915,891,9,1,0,Low
532,1,0.8,1,3,0,8,0.1,193,5,1213,1354,728,8,1,0,Low
777,1,2.6,0,3,0,30,0.9,148,5,189,1143,3886,7,0,0,High
1217,1,0.5,0,3,0,17,0.5,182,4,628,632,1711,9,0,1,Mid_Low
1656,1,1.6,1,0,0,16,1,117,7,320,899,2856,20,1,1,Mid
1185,0,1.9,0,0,0,31,0.4,152,8,837,1642,2447,3,1,1,Mid
577,0,2.4,0,8,1,37,0.9,161,6,1087,1450,814,19,1,1,Low
737,1,2.4,1,7,0,49,0.6,193,4,781,1463,2951,10,1,0,Mid
704,0,2.2,1,4,0,53,0.2,186,6,251,1013,3653,15,1,1,Mid
525,1,0.5,1,5,0,51,0.5,137,8,262,1587,1891,12,1,0,Mid_Low
504,1,0.5,1,5,0,16,0.1,166,1,767,1665,701,15,0,1,Low
793,0,1.2,1,1,1,38,0.6,176,4,1226,1815,3139,12,1,1,High
569,0,0.6,1,2,0,39,0.1,184,8,389,739,2811,7,0,1,Mid_Low
1590,0,1.9,1,3,1,21,1,160,5,920,963,1701,4,0,1,Mid_Low
707,0,0.5,0,0,1,16,0.1,194,2,1027,1508,1853,12,1,1,Mid_Low
767,0,1.9,0,16,1,19,0.2,185,6,271,1000,2445,6,1,1,Mid_Low
1350,1,0.5,1,0,1,50,0.8,181,8,369,544,2287,8,1,0,Mid_Low
1117,1,0.6,1,0,0,31,0.2,146,2,1258,1627,2003,14,1,1,Mid
641,1,1.1,0,0,1,7,0.9,192,1,417,759,3595,19,1,1,Mid
1002,0,0.8,1,0,1,35,0.5,83,2,1345,1416,1726,19,0,1,Mid_Low
1408,1,2.1,1,10,0,45,0.9,89,5,613,1088,3952,3,0,1,High
1900,1,2,1,1,0,41,0.5,190,8,912,1596,850,4,1,1,Mid_Low
726,0,2.9,0,0,0,43,0.1,101,8,666,760,1446,8,1,0,Low
1544,0,2.3,0,12,1,45,0.1,113,8,236,857,1300,18,1,0,Mid_Low
1454,1,1.6,0,6,1,21,0.2,160,4,186,1100,719,10,1,1,Low
1230,1,2.2,1,6,0,26,0.8,123,5,416,676,988,9,1,1,Low
1552,0,1.2,0,10,1,53,0.3,180,8,430,658,2606,12,0,0,Mid
1519,0,2.1,0,0,0,32,0.7,200,1,168,1239,2912,15,1,0,Mid
723,1,1.9,0,4,0,30,0.3,102,1,1467,1901,2339,17,1,1,Mid
1191,0,2.4,1,2,0,13,0.9,169,1,179,1813,1028,8,1,1,Low
1168,0,1.3,0,9,0,61,0.1,90,8,159,1578,3173,17,0,1,High
1229,0,0.5,1,15,0,14,0.8,191,2,120,1878,1667,17,0,1,Mid_Low
1758,1,0.5,0,11,1,13,0.6,190,8,762,1864,1897,15,0,0,Mid
1290,0,0.5,0,0,0,3,0.1,143,6,600,1109,1214,15,1,1,Mid_Low
574,0,2.8,1,16,0,38,0.1,90,6,286,1171,3269,10,1,0,Mid
1271,1,0.5,0,12,0,32,0.1,113,7,1350,1949,445,14,0,1,Low
1170,1,1.2,0,4,0,30,0.4,83,8,27,1722,1073,8,1,0,Low
1269,1,1.3,0,14,0,52,0.8,118,2,1597,1920,665,5,0,0,Mid_Low
1288,0,2.8,1,15,0,50,0.1,121,2,1177,1809,3129,2,0,0,High
1366,1,0.7,1,0,1,34,0.1,150,2,402,964,3501,3,0,0,High
1572,1,0.8,1,7,1,8,0.8,169,5,577,1237,3461,10,1,1,High
1627,0,0.9,1,9,1,32,0.1,180,6,52,1082,3206,16,1,0,High
1701,1,0.5,0,13,1,46,0.9,115,2,364,828,3717,10,1,0,High
1900,1,0.5,1,0,1,55,0.9,171,1,934,1241,3917,18,0,1,High
1974,0,1,0,4,0,24,0.3,80,7,250,545,861,6,0,1,Low
1197,1,0.5,1,9,0,20,0.1,129,5,214,1710,2885,14,1,1,Mid
587,1,2.3,1,4,0,6,0.7,170,1,612,1793,2777,14,1,0,Mid
934,0,1.1,0,7,0,24,0.8,112,5,1111,1463,1017,9,0,1,Low
1195,0,2,1,1,1,23,0.1,82,4,163,1100,980,17,0,0,Low
1853,1,1,0,2,0,23,0.4,92,1,202,1951,2775,17,0,0,High
1164,0,1,0,4,1,19,0.9,95,8,729,1704,3309,3,0,1,High
1512,1,0.5,0,8,1,18,0.1,88,3,1079,1897,3607,6,1,1,High
1232,0,2.9,1,1,1,24,0.3,169,5,361,809,1257,16,0,0,Low
1813,1,0.6,1,0,1,5,0.2,198,3,338,1306,759,14,1,0,Low
946,1,2.6,1,17,0,5,0.1,166,3,1698,1771,3720,4,1,0,High
739,1,2.3,1,2,1,58,0.1,88,3,1052,1536,475,6,0,1,Low
704,1,2.7,0,8,1,29,0.2,80,1,1108,1509,1122,10,1,1,Low
1663,1,0.5,0,0,0,40,0.6,147,4,951,1545,1336,15,0,0,Mid_Low
1966,1,1.4,1,2,0,40,0.9,185,8,1197,1987,1185,20,1,0,Mid
1219,0,1,1,0,0,17,0.7,196,5,473,1022,705,6,1,1,Low
612,1,0.7,0,6,0,35,0.6,181,5,1294,1337,3169,6,0,0,Mid
1658,1,1.4,0,0,1,39,0.7,182,1,410,522,3483,15,0,1,High
1263,0,0.5,0,12,0,64,0.3,175,5,178,1883,1183,17,0,1,Mid_Low
1395,1,2.8,0,0,1,55,0.6,118,3,782,1787,3373,16,1,0,High
621,1,2.7,1,0,0,54,0.1,151,4,434,910,2801,5,1,1,Mid
652,0,0.5,1,1,0,58,0.6,142,3,464,781,565,9,0,1,Low
1175,0,0.6,0,10,0,25,0.1,145,2,137,1501,3153,12,0,0,Mid
561,1,1,0,0,0,11,0.1,163,8,492,1176,3421,5,1,1,Mid
1137,0,2.2,0,6,1,3,0.9,173,5,1250,1285,316,17,0,0,Low
1835,1,2.3,0,4,1,11,0.1,193,7,385,583,448,14,0,0,Low
1170,0,2.9,1,2,0,40,0.4,169,6,427,684,2366,2,1,1,Mid_Low
1595,1,0.8,1,0,1,44,0.7,85,4,1024,1838,3881,9,0,1,High
1719,1,2,0,0,0,12,0.3,122,8,240,904,462,5,0,0,Low
1770,0,2.3,1,0,0,7,0.8,128,7,886,1552,1480,17,0,0,Mid_Low
1312,0,0.5,1,0,1,28,0.8,163,2,1233,1854,1087,14,0,0,Mid_Low
1878,0,1.5,1,5,1,56,0.3,139,5,183,559,2711,3,1,1,Mid
1871,1,2,0,7,1,20,0.1,81,7,88,1682,2144,12,1,1,Mid
922,0,1.5,1,1,1,35,0.9,188,7,1016,1383,1165,4,1,1,Low
1975,1,1.5,0,6,1,16,0.9,128,8,80,655,2998,13,1,0,Mid
1212,0,2.6,0,1,1,46,0.3,102,4,611,1715,2249,4,1,1,Mid
1430,1,0.9,0,3,0,56,0.1,179,3,569,906,752,17,0,1,Low
1958,1,1.9,1,0,0,4,0.2,190,2,304,637,1409,3,0,0,Mid_Low
1836,1,2.1,1,0,1,30,0.2,184,7,276,1230,3072,5,1,0,High
557,1,1.6,0,0,0,24,0.5,125,3,1131,1315,1305,3,0,1,Low
539,1,0.6,1,9,0,21,0.1,145,7,551,599,3597,9,0,0,Mid
880,0,0.5,1,1,0,44,0.5,172,8,436,1302,3132,6,1,1,Mid
1369,1,1.8,1,6,0,34,0.5,162,1,553,727,3856,18,1,1,High
1109,1,2.7,1,1,0,39,0.4,98,1,1391,1787,1524,7,1,1,Mid_Low
843,0,1.8,1,0,0,16,0.1,166,5,981,1096,3673,20,0,1,High
598,0,2.3,1,7,0,21,0.7,196,2,680,1173,3293,7,0,1,Mid
972,1,2.7,1,1,0,5,1,126,4,687,816,3035,19,0,1,Mid
1944,1,0.5,0,5,1,36,0.1,197,6,1060,1970,584,13,1,0,Mid_Low
1225,0,0.7,1,0,1,2,0.6,138,7,217,1101,2675,15,1,0,Mid
644,1,1.3,1,7,1,30,0.5,114,1,1140,1654,2382,19,0,1,Mid
1919,0,1.5,0,5,1,48,0.8,150,4,304,1191,1391,12,0,1,Mid_Low
501,0,2.3,0,12,1,54,0.3,131,4,504,1089,2346,2,0,1,Mid_Low
1620,1,2.2,1,0,1,30,0.2,185,3,832,1033,606,18,0,0,Low
1227,1,1.1,1,0,0,34,0.2,130,3,935,1781,1324,12,1,1,Mid_Low
1359,1,0.5,1,1,1,58,0.5,107,6,446,901,1076,4,1,1,Low
1914,0,0.7,0,1,0,35,0.6,118,8,942,1701,643,8,0,1,Mid_Low
1645,1,1.8,0,1,0,21,0.7,123,7,897,1308,783,20,0,0,Low
1063,1,1.1,0,0,1,26,0.8,101,5,1208,1232,3809,5,0,1,High
946,0,2.1,0,0,1,19,0.2,154,8,159,630,2104,16,1,0,Mid_Low
1231,0,1.2,1,5,0,54,0.8,185,3,632,1184,1762,6,1,0,Mid_Low
1397,0,2.9,1,13,0,9,0.5,87,6,1308,1991,3137,11,1,1,High
701,1,0.7,0,7,0,15,0.5,160,3,1002,1256,1756,17,1,1,Mid_Low
570,1,0.5,1,2,0,9,0.3,111,7,1331,1917,3663,14,0,0,High
1993,1,0.5,0,10,1,27,0.3,147,8,150,510,2437,9,0,0,Mid
955,0,0.5,1,4,0,43,0.9,143,5,1248,1511,1432,9,1,1,Mid_Low
924,0,0.5,1,0,1,47,0.3,167,8,108,1813,1620,12,0,0,Mid_Low
600,0,0.5,0,0,0,14,0.8,112,5,320,747,1655,9,0,0,Low
518,0,0.8,1,0,0,3,0.1,178,7,437,1947,2832,8,0,1,Mid
1063,1,2.5,0,0,1,31,0.9,95,6,295,935,961,5,1,0,Low
920,1,0.5,0,2,0,46,0.8,149,3,1058,1421,2608,2,0,1,Mid
1715,0,1.9,0,4,1,3,0.1,171,5,79,1652,514,13,0,0,Low
1841,1,1.3,1,6,0,14,0.6,167,8,593,672,2304,18,0,1,Mid
543,1,0.5,1,4,1,60,0.7,132,5,693,1031,933,5,1,0,Low
1762,1,2.7,1,13,1,25,0.9,189,1,300,527,1896,20,1,1,Mid_Low
1112,1,0.5,1,1,0,53,0.6,121,4,234,739,3655,20,1,0,High
709,1,2,1,0,0,35,0.1,136,1,1545,1596,1973,16,1,1,Mid_Low
1315,1,2.6,0,7,0,64,0.8,128,7,59,575,3278,13,0,0,Mid
1762,1,2.5,0,10,1,15,0.3,107,8,1103,1364,2183,11,1,0,Mid
1462,1,1.7,1,1,0,25,0.2,182,7,91,1478,824,13,0,1,Low
571,0,1.6,1,8,0,35,0.2,186,7,177,1282,2598,8,1,0,Mid_Low
666,1,0.5,1,7,1,54,0.4,81,3,58,1353,1254,9,1,1,Low
1994,0,1.5,1,2,1,7,0.5,146,8,447,1435,3622,20,0,1,High
1583,1,2.1,1,11,0,14,0.7,148,7,942,1651,1704,2,0,1,Mid
1778,0,1.4,1,3,1,45,1,132,4,88,516,1624,9,1,0,Mid_Low
1926,1,1.1,0,13,1,50,0.2,179,6,371,1000,3809,17,1,0,High
966,1,0.6,0,9,1,50,0.2,117,4,1446,1754,2574,5,0,1,Mid
568,0,2,0,1,0,36,0.3,179,3,181,1703,950,9,0,0,Low
1897,0,3,0,1,1,21,0.5,192,8,1311,1935,273,3,1,1,Low
1695,0,0.5,1,6,1,46,0.7,200,3,1791,1898,446,15,1,1,Mid_Low
1623,1,1.2,0,6,1,61,0.9,120,7,1568,1832,1510,17,1,0,Mid
914,1,0.5,0,0,1,26,0.7,147,4,706,721,1122,2,1,1,Low
1721,1,0.5,1,4,1,33,0.5,128,4,871,1048,707,5,1,1,Low
890,1,2.2,1,4,0,44,0.5,198,8,1074,1873,751,3,0,0,Low
600,0,0.5,0,1,0,48,0.8,191,3,501,1465,3393,8,0,0,Mid
1677,0,1.8,1,4,0,11,0.7,124,6,271,1477,3771,12,0,0,High
723,0,0.5,0,0,1,3,0.2,168,4,920,1748,1851,16,0,0,Mid_Low
638,0,1.7,1,11,0,27,0.5,102,4,1171,1383,2735,9,1,0,Mid
852,0,1,1,4,1,62,0.7,104,7,293,1159,2253,7,1,0,Mid_Low
1979,1,1.6,1,0,0,32,0.2,165,7,833,1630,452,14,1,0,Low
710,1,0.5,0,6,0,32,0.8,151,5,485,857,1419,18,1,0,Low
1034,0,2.6,1,2,1,45,0.3,190,3,182,1293,969,7,0,0,Low
600,0,2.5,1,8,1,22,0.1,145,1,207,1162,3441,5,0,0,Mid
1027,0,0.5,0,2,1,64,0.9,103,2,1698,1747,3786,12,0,0,High
1260,0,0.6,0,5,1,13,1,106,6,165,736,2710,8,1,0,Mid
1793,0,1.8,1,10,0,12,0.5,169,6,1086,1418,3533,15,1,1,High
675,0,2.3,0,10,0,60,0.9,144,5,192,757,1735,13,0,1,Low
658,1,2.7,0,0,1,12,0.9,103,7,1156,1750,3587,20,0,0,High
1694,1,0.6,0,0,1,34,0.3,102,7,377,549,2298,2,1,0,Mid
804,1,0.8,1,12,1,41,0.9,89,1,709,818,2027,11,0,0,Mid_Low
1713,0,2.5,1,1,0,27,0.9,127,7,729,974,2406,20,0,1,Mid
706,0,0.5,0,13,1,31,0.1,108,3,543,938,2419,4,0,1,Mid_Low
1362,0,0.5,0,3,0,25,0.8,131,7,553,1505,995,18,1,1,Low
1527,0,2.7,0,10,1,60,0.1,154,5,526,1116,2078,11,1,1,Mid
768,0,0.5,1,0,0,19,0.9,159,2,637,991,1145,7,0,1,Low
1314,0,2.9,1,8,1,41,0.1,155,4,113,577,626,4,1,1,Low
705,1,0.5,0,5,1,57,0.9,155,6,1114,1374,1509,18,1,1,Mid_Low
1403,0,2.7,0,2,1,26,0.1,164,5,461,1251,3371,9,0,1,High
1486,0,2.6,0,7,0,52,0.1,85,4,1430,1747,297,15,1,0,Low
781,0,1.1,0,2,0,38,0.4,198,5,304,1674,3508,5,0,1,High
986,1,1.5,0,1,1,23,0.8,183,8,471,800,2385,19,0,0,Mid_Low
1310,0,1.4,0,0,0,33,0.4,105,1,806,1016,1301,19,0,1,Mid_Low
560,1,2,1,6,1,57,0.3,81,3,80,1327,2167,7,0,1,Mid_Low
1348,0,1.3,0,0,0,43,0.4,116,5,204,501,3914,8,0,1,High
1567,0,0.5,1,3,0,22,0.5,119,6,545,1621,2312,18,0,0,Mid
1940,1,0.9,1,4,0,17,0.7,93,5,112,858,2297,8,1,0,Mid
1979,1,2.9,1,0,1,19,1,176,3,1331,1532,411,2,1,1,Low
561,1,2.1,1,7,1,2,0.1,193,3,1055,1294,665,4,1,0,Low
1717,1,1.3,0,1,0,62,0.7,130,1,609,810,3226,5,1,0,High
535,0,1.5,0,1,1,48,0.7,113,1,290,811,740,18,1,0,Low
1413,0,0.5,1,4,1,39,0.1,185,5,1039,1318,3878,4,0,0,High
1358,0,2.5,1,0,0,20,0.6,135,7,1485,1655,3406,11,0,1,High
1519,0,2.9,0,2,0,30,0.7,112,7,1122,1702,2440,10,1,1,Mid
1254,0,1.2,1,2,0,50,0.7,108,5,462,1013,3959,17,1,0,High
1591,1,2.2,0,3,1,49,0.4,154,6,1384,1883,3703,20,1,0,High
977,1,2.8,1,2,0,35,0.6,165,2,1502,1862,3714,10,1,1,High
1640,1,0.7,0,10,1,21,0.8,169,7,589,1301,337,5,1,0,Low
663,0,0.8,1,0,0,25,0.6,183,2,82,1605,3176,2,0,1,Mid
1744,1,1,0,1,1,20,0.5,112,8,68,718,1205,14,0,0,Mid_Low
1624,0,1.6,1,8,0,28,0.4,150,2,689,699,2473,2,0,0,Mid
1108,1,1.3,1,14,1,2,0.3,169,7,208,1742,1229,4,1,0,Low
1188,1,1.4,1,0,1,9,0.6,114,2,1339,1558,2896,16,0,1,High
817,0,1.3,0,0,0,11,0.5,144,3,722,766,2039,19,1,0,Mid_Low
863,0,1.6,1,5,1,6,0.7,133,4,717,1799,520,18,0,1,Low
1397,0,2.4,1,5,1,3,0.2,121,3,433,1658,1378,4,1,1,Mid_Low
1108,0,1,0,3,0,49,0.7,140,5,1298,1666,3254,16,0,0,High
1068,0,2,1,1,1,37,0.9,184,7,186,1998,1803,7,0,0,Mid_Low
1702,1,2.3,0,12,1,52,0.5,145,2,1397,1491,2501,4,0,0,High
808,0,0.5,1,0,0,8,0.1,192,4,618,1891,3762,12,0,1,High
1156,0,0.5,0,6,0,61,0.1,89,7,1214,1262,1796,13,1,1,Mid_Low
1271,0,0.5,1,2,0,54,0.1,159,8,613,650,990,6,1,1,Low
696,0,0.5,0,6,0,51,0.3,197,3,649,907,2630,9,0,1,Mid_Low
1981,1,1.9,1,13,0,45,0.3,175,6,193,1234,1380,13,1,0,Mid_Low
614,0,1.7,1,0,1,58,0.2,128,7,22,519,3487,11,1,1,Mid
1590,0,0.6,1,0,0,7,0.3,122,3,1464,1595,1201,18,1,1,Mid_Low
1945,0,1.6,0,4,0,21,0.7,113,3,280,895,3015,15,0,0,High
1135,1,2.8,1,9,0,43,0.4,158,1,690,1589,3204,6,0,0,High
1049,0,0.6,1,8,1,2,0.3,172,6,39,1564,433,6,0,0,Low
1807,1,2.1,0,2,0,49,0.8,125,1,337,1384,1906,13,1,1,Mid
984,1,0.5,0,13,1,42,0.8,98,7,1036,1611,898,13,1,0,Low
720,1,1.4,1,0,1,61,0.6,96,7,1347,1733,2799,15,0,1,High
1536,0,0.8,0,12,0,13,0.3,105,7,22,1634,2020,16,1,0,Mid
771,1,0.5,0,3,0,25,1,86,4,327,922,770,20,1,0,Low
503,0,2.5,0,3,0,57,0.6,185,6,778,1291,305,16,0,1,Low
675,0,2.4,0,1,0,42,0.6,187,7,482,874,2953,13,1,0,Mid
1936,1,1.9,1,13,1,34,0.2,182,7,591,1089,1671,9,0,1,Mid_Low
1303,0,1,1,0,1,15,0.1,138,3,229,1604,2574,14,1,1,Mid
1004,1,2.9,1,0,0,35,0.2,141,6,901,1162,3772,18,1,1,High
1972,0,1.2,1,0,0,37,0.7,102,2,715,1648,2870,17,0,0,High
1822,0,1.2,0,0,0,8,0.2,195,6,172,910,2577,8,1,0,Mid
1159,1,2.8,0,5,1,18,0.5,83,1,681,723,2246,3,1,0,Mid_Low
1782,1,2.8,1,6,1,58,0.8,157,1,867,999,2405,16,0,1,Mid
894,0,2.1,1,16,0,16,0.7,168,8,286,1300,3377,6,1,1,Mid
1884,0,2.1,1,7,1,43,0.8,185,1,451,819,3619,7,1,1,High
1648,1,0.5,0,1,1,17,0.9,142,2,1119,1238,1184,2,0,1,Mid_Low
798,0,2.4,0,5,0,4,0.2,96,3,526,643,2965,14,1,0,Mid
802,1,2.4,1,1,0,45,0.8,157,3,1299,1633,3713,8,0,0,High
1276,1,2.9,1,2,0,53,0.3,130,2,217,735,3798,8,1,1,High
1331,1,1.6,0,0,0,16,0.5,165,2,1109,1226,1026,20,0,1,Mid_Low
1620,0,2.6,1,6,0,5,0.9,186,6,434,1339,1086,13,0,0,Mid_Low
